"item","verb","frame","voice","polarity","conditional2","Mean","low.ci","high.ci","SD","C"
"determine-that_S-active-negative-matrix","determine","that_S","active","negative","matrix",0.45,0.15,0.15,0.283823106098773,10
"determine-that_S-active-positive-conditional","determine","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"determine-that_S-active-positive-matrix","determine","that_S","active","positive","matrix",1,0,0,0,10
"detest-that_S-active-negative-conditional","detest","that_S","active","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"detest-that_S-active-negative-matrix","detest","that_S","active","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"detest-that_S-active-positive-conditional","detest","that_S","active","positive","conditional",1,0,0,0,10
"detest-that_S-active-positive-matrix","detest","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"devastate-that_S-passive-negative-conditional","devastate","that_S","passive","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"devastate-that_S-passive-negative-matrix","devastate","that_S","passive","negative","matrix",1,0,0,0,10
"devastate-that_S-passive-positive-conditional","devastate","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"devastate-that_S-passive-positive-matrix","devastate","that_S","passive","positive","matrix",1,0,0,0,9
"diagnose-that_S-active-negative-conditional","diagnose","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"diagnose-that_S-active-negative-matrix","diagnose","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"diagnose-that_S-active-positive-conditional","diagnose","that_S","active","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"diagnose-that_S-active-positive-matrix","diagnose","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"dictate-that_S-active-negative-conditional","dictate","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"dictate-that_S-active-negative-matrix","dictate","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"dictate-that_S-active-positive-conditional","dictate","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"dictate-that_S-active-positive-matrix","dictate","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"disagree-that_S-active-negative-conditional","disagree","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"disagree-that_S-active-negative-matrix","disagree","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"disagree-that_S-active-positive-conditional","disagree","that_S","active","positive","conditional",0.4,0.2,0.15,0.316227766016838,10
"disagree-that_S-active-positive-matrix","disagree","that_S","active","positive","matrix",0.55,0.15,0.15,0.283823106098773,10
"disappoint-that_S-passive-negative-conditional","disappoint","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"disappoint-that_S-passive-negative-matrix","disappoint","that_S","passive","negative","matrix",0.85,0.2,0.15,0.337474278855276,10
"disappoint-that_S-passive-positive-conditional","disappoint","that_S","passive","positive","conditional",1,0,0,0,10
"disappoint-that_S-passive-positive-matrix","disappoint","that_S","passive","positive","matrix",1,0,0,0,10
"disapprove-that_S-active-negative-conditional","disapprove","that_S","active","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"disapprove-that_S-active-negative-matrix","disapprove","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"disapprove-that_S-active-positive-conditional","disapprove","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"disapprove-that_S-active-positive-matrix","disapprove","that_S","active","positive","matrix",0.944444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"disbelieve-that_S-active-negative-conditional","disbelieve","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"disbelieve-that_S-active-negative-matrix","disbelieve","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"disbelieve-that_S-active-positive-conditional","disbelieve","that_S","active","positive","conditional",0.45,0.15,0.15,0.283823106098773,10
"disbelieve-that_S-active-positive-matrix","disbelieve","that_S","active","positive","matrix",0.6,0.1,0.1,0.210818510677892,10
"disclose-that_S-active-negative-conditional","disclose","that_S","active","negative","conditional",0.6,0.2,0.2,0.316227766016838,10
"disclose-that_S-active-negative-matrix","disclose","that_S","active","negative","matrix",0.9,0.2,0.1,0.316227766016838,10
"disclose-that_S-active-positive-conditional","disclose","that_S","active","positive","conditional",1,0,0,0,10
"disclose-that_S-active-positive-matrix","disclose","that_S","active","positive","matrix",0.9,0.1,0.1,0.210818510677892,10
"discover-that_S-active-negative-conditional","discover","that_S","active","negative","conditional",0.4,0.2,0.2,0.316227766016838,10
"discover-that_S-active-negative-matrix","discover","that_S","active","negative","matrix",0.55,0.15,0.2,0.283823106098773,10
"discover-that_S-active-positive-conditional","discover","that_S","active","positive","conditional",1,0,0,0,10
"discover-that_S-active-positive-matrix","discover","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"discuss-that_S-active-negative-conditional","discuss","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"discuss-that_S-active-negative-matrix","discuss","that_S","active","negative","matrix",0.6,0.15,0.15,0.316227766016838,10
"discuss-that_S-active-positive-conditional","discuss","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"discuss-that_S-active-positive-matrix","discuss","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"disgrace-that_S-passive-negative-conditional","disgrace","that_S","passive","negative","conditional",0.85,0.15,0.1,0.241522945769824,10
"disgrace-that_S-passive-negative-matrix","disgrace","that_S","passive","negative","matrix",0.85,0.2,0.15,0.337474278855276,10
"disgrace-that_S-passive-positive-conditional","disgrace","that_S","passive","positive","conditional",0.85,0.20125,0.15,0.337474278855276,10
"disgrace-that_S-passive-positive-matrix","disgrace","that_S","passive","positive","matrix",1,0,0,0,10
"disgruntle-that_S-passive-negative-conditional","disgruntle","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"disgruntle-that_S-passive-negative-matrix","disgruntle","that_S","passive","negative","matrix",0.9,0.1,0.1,0.210818510677892,10
"disgruntle-that_S-passive-positive-conditional","disgruntle","that_S","passive","positive","conditional",1,0,0,0,10
"disgruntle-that_S-passive-positive-matrix","disgruntle","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"disgust-that_S-passive-negative-conditional","disgust","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"disgust-that_S-passive-negative-matrix","disgust","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"disgust-that_S-passive-positive-conditional","disgust","that_S","passive","positive","conditional",1,0,0,0,10
"disgust-that_S-passive-positive-matrix","disgust","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"dishearten-that_S-passive-negative-conditional","dishearten","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"dishearten-that_S-passive-negative-matrix","dishearten","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"dishearten-that_S-passive-positive-conditional","dishearten","that_S","passive","positive","conditional",1,0,0,0,10
"dishearten-that_S-passive-positive-matrix","dishearten","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"disillusion-that_S-passive-negative-conditional","disillusion","that_S","passive","negative","conditional",0.5,0.2,0.2,0.333333333333333,10
"disillusion-that_S-passive-negative-matrix","disillusion","that_S","passive","negative","matrix",0.55,0.25,0.25,0.437797517885457,10
"disillusion-that_S-passive-positive-conditional","disillusion","that_S","passive","positive","conditional",0.65,0.25,0.25,0.411636301174282,10
"disillusion-that_S-passive-positive-matrix","disillusion","that_S","passive","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"dislike-that_S-active-negative-conditional","dislike","that_S","active","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"dislike-that_S-active-negative-matrix","dislike","that_S","active","negative","matrix",0.944444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"dislike-that_S-active-positive-conditional","dislike","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"dislike-that_S-active-positive-matrix","dislike","that_S","active","positive","matrix",1,0,0,0,10
"dismay-that_S-passive-negative-conditional","dismay","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"dismay-that_S-passive-negative-matrix","dismay","that_S","passive","negative","matrix",0.833333333333333,0.222222222222222,0.166666666666667,0.353553390593274,9
"dismay-that_S-passive-positive-conditional","dismay","that_S","passive","positive","conditional",1,0,0,0,10
"dismay-that_S-passive-positive-matrix","dismay","that_S","passive","positive","matrix",1,0,0,0,10
"dismiss-that_S-active-negative-conditional","dismiss","that_S","active","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"dismiss-that_S-active-negative-matrix","dismiss","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"dismiss-that_S-active-positive-conditional","dismiss","that_S","active","positive","conditional",0.65,0.25,0.25,0.411636301174282,10
"dismiss-that_S-active-positive-matrix","dismiss","that_S","active","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"dispel-that_S-active-negative-conditional","dispel","that_S","active","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"dispel-that_S-active-negative-matrix","dispel","that_S","active","negative","matrix",0.65,0.10125,0.15,0.241522945769824,10
"dispel-that_S-active-positive-conditional","dispel","that_S","active","positive","conditional",0.45,0.25,0.25,0.437797517885457,10
"dispel-that_S-active-positive-matrix","dispel","that_S","active","positive","matrix",0.4,0.25,0.3,0.459468291736341,10
"display-that_S-active-negative-conditional","display","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"display-that_S-active-negative-matrix","display","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"display-that_S-active-positive-conditional","display","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"display-that_S-active-positive-matrix","display","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"dispute-that_S-active-negative-conditional","dispute","that_S","active","negative","conditional",0.65,0.15,0.15,0.241522945769824,10
"dispute-that_S-active-negative-matrix","dispute","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"dispute-that_S-active-positive-conditional","dispute","that_S","active","positive","conditional",0.5,0,0,0,10
"dispute-that_S-active-positive-matrix","dispute","that_S","active","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"disregard-that_S-active-negative-conditional","disregard","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"disregard-that_S-active-negative-matrix","disregard","that_S","active","negative","matrix",0.833333333333333,0.166666666666667,0.111111111111111,0.25,9
"disregard-that_S-active-positive-conditional","disregard","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"disregard-that_S-active-positive-matrix","disregard","that_S","active","positive","matrix",0.8,0.25,0.2,0.349602949390051,10
"dissatisfy-that_S-passive-negative-conditional","dissatisfy","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"dissatisfy-that_S-passive-negative-matrix","dissatisfy","that_S","passive","negative","matrix",1,0,0,0,10
"dissatisfy-that_S-passive-positive-conditional","dissatisfy","that_S","passive","positive","conditional",1,0,0,0,10
"dissatisfy-that_S-passive-positive-matrix","dissatisfy","that_S","passive","positive","matrix",0.8,0.25,0.2,0.349602949390051,10
"distress-that_S-passive-negative-conditional","distress","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"distress-that_S-passive-negative-matrix","distress","that_S","passive","negative","matrix",1,0,0,0,10
"distress-that_S-passive-positive-conditional","distress","that_S","passive","positive","conditional",0.9,0.2,0.1,0.316227766016838,10
"distress-that_S-passive-positive-matrix","distress","that_S","passive","positive","matrix",0.85,0.25,0.15,0.337474278855276,10
"disturb-that_S-passive-negative-conditional","disturb","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"disturb-that_S-passive-negative-matrix","disturb","that_S","passive","negative","matrix",0.85,0.25,0.15,0.337474278855276,10
"disturb-that_S-passive-positive-conditional","disturb","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"disturb-that_S-passive-positive-matrix","disturb","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"divulge-that_S-active-negative-conditional","divulge","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"divulge-that_S-active-negative-matrix","divulge","that_S","active","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"divulge-that_S-active-positive-conditional","divulge","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"divulge-that_S-active-positive-matrix","divulge","that_S","active","positive","matrix",0.85,0.15,0.15,0.241522945769824,10
"document-that_S-active-negative-conditional","document","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"document-that_S-active-negative-matrix","document","that_S","active","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"document-that_S-active-positive-conditional","document","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"document-that_S-active-positive-matrix","document","that_S","active","positive","matrix",1,0,0,0,10
"doubt-that_S-active-negative-conditional","doubt","that_S","active","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"doubt-that_S-active-negative-matrix","doubt","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"doubt-that_S-active-positive-conditional","doubt","that_S","active","positive","conditional",0.45,0.1,0.05,0.158113883008419,10
"doubt-that_S-active-positive-matrix","doubt","that_S","active","positive","matrix",0.65,0.15,0.15,0.241522945769824,10
"dread-that_S-active-negative-conditional","dread","that_S","active","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"dread-that_S-active-negative-matrix","dread","that_S","active","negative","matrix",0.7,0.25,0.2,0.421637021355784,10
"dread-that_S-active-positive-conditional","dread","that_S","active","positive","conditional",0.55,0.05,0.1,0.158113883008419,10
"dread-that_S-active-positive-matrix","dread","that_S","active","positive","matrix",0.65,0.2,0.2,0.337474278855276,10
"dream-that_S-active-negative-conditional","dream","that_S","active","negative","conditional",0.35,0.15,0.15,0.241522945769824,10
"dream-that_S-active-negative-matrix","dream","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"dream-that_S-active-positive-conditional","dream","that_S","active","positive","conditional",0.25,0.15,0.15,0.263523138347365,10
"dream-that_S-active-positive-matrix","dream","that_S","active","positive","matrix",0.4,0.1,0.1,0.210818510677892,10
"dupe-that_S-passive-negative-conditional","dupe","that_S","passive","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"dupe-that_S-passive-negative-matrix","dupe","that_S","passive","negative","matrix",0.5,0.2,0.2,0.333333333333333,10
"dupe-that_S-passive-positive-conditional","dupe","that_S","passive","positive","conditional",0.35,0.2,0.25,0.411636301174282,10
"dupe-that_S-passive-positive-matrix","dupe","that_S","passive","positive","matrix",0.3,0.3,0.3,0.483045891539648,10
"educate-that_S-passive-negative-conditional","educate","that_S","passive","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"educate-that_S-passive-negative-matrix","educate","that_S","passive","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"educate-that_S-passive-positive-conditional","educate","that_S","passive","positive","conditional",0.85,0.15,0.1,0.241522945769824,10
"educate-that_S-passive-positive-matrix","educate","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"elaborate-that_S-active-negative-conditional","elaborate","that_S","active","negative","conditional",0.5,0,0,0,10
"elaborate-that_S-active-negative-matrix","elaborate","that_S","active","negative","matrix",0.65,0.10125,0.15,0.241522945769824,10
"elaborate-that_S-active-positive-conditional","elaborate","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"elaborate-that_S-active-positive-matrix","elaborate","that_S","active","positive","matrix",0.75,0.2,0.2,0.353553390593274,10
"elate-that_S-passive-negative-conditional","elate","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"elate-that_S-passive-negative-matrix","elate","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"elate-that_S-passive-positive-conditional","elate","that_S","passive","positive","conditional",1,0,0,0,10
"elate-that_S-passive-positive-matrix","elate","that_S","passive","positive","matrix",0.8,0.2,0.2,0.421637021355784,10
"elect-that_S-active-negative-conditional","elect","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"elect-that_S-active-negative-matrix","elect","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"elect-that_S-active-positive-conditional","elect","that_S","active","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"elect-that_S-active-positive-matrix","elect","that_S","active","positive","matrix",0.6,0.2,0.2,0.316227766016838,10
"email-that_S-active-negative-conditional","email","that_S","active","negative","conditional",0.4,0.10125,0.1,0.210818510677892,10
"email-that_S-active-negative-matrix","email","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"email-that_S-active-positive-conditional","email","that_S","active","positive","conditional",1,0,0,0,10
"email-that_S-active-positive-matrix","email","that_S","active","positive","matrix",0.85,0.2,0.15,0.337474278855276,10
"email-that_S-passive-negative-conditional","email","that_S","passive","negative","conditional",0.45,0.15125,0.15,0.283823106098773,10
"email-that_S-passive-negative-matrix","email","that_S","passive","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"email-that_S-passive-positive-conditional","email","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"email-that_S-passive-positive-matrix","email","that_S","passive","positive","matrix",0.944444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"embarrass-that_S-passive-negative-conditional","embarrass","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"embarrass-that_S-passive-negative-matrix","embarrass","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"embarrass-that_S-passive-positive-conditional","embarrass","that_S","passive","positive","conditional",1,0,0,0,10
"embarrass-that_S-passive-positive-matrix","embarrass","that_S","passive","positive","matrix",1,0,0,0,10
"embellish-that_S-active-negative-conditional","embellish","that_S","active","negative","conditional",0.65,0.2,0.2,0.337474278855276,10
"embellish-that_S-active-negative-matrix","embellish","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"embellish-that_S-active-positive-conditional","embellish","that_S","active","positive","conditional",0.4,0.25,0.2,0.394405318873308,10
"embellish-that_S-active-positive-matrix","embellish","that_S","active","positive","matrix",0.45,0.25,0.25,0.437797517885457,10
"embitter-that_S-passive-negative-conditional","embitter","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"embitter-that_S-passive-negative-matrix","embitter","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"embitter-that_S-passive-positive-conditional","embitter","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"embitter-that_S-passive-positive-matrix","embitter","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"emphasize-that_S-active-negative-conditional","emphasize","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"emphasize-that_S-active-negative-matrix","emphasize","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"emphasize-that_S-active-positive-conditional","emphasize","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"emphasize-that_S-active-positive-matrix","emphasize","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"encourage-that_S-passive-negative-conditional","encourage","that_S","passive","negative","conditional",0.65,0.15,0.15,0.241522945769824,10
"encourage-that_S-passive-negative-matrix","encourage","that_S","passive","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"encourage-that_S-passive-positive-conditional","encourage","that_S","passive","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"encourage-that_S-passive-positive-matrix","encourage","that_S","passive","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"endorse-that_S-active-negative-conditional","endorse","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"endorse-that_S-active-negative-matrix","endorse","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"endorse-that_S-active-positive-conditional","endorse","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"endorse-that_S-active-positive-matrix","endorse","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"enjoy-that_S-active-negative-conditional","enjoy","that_S","active","negative","conditional",0.85,0.25,0.15,0.337474278855276,10
"enjoy-that_S-active-negative-matrix","enjoy","that_S","active","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"enjoy-that_S-active-positive-conditional","enjoy","that_S","active","positive","conditional",1,0,0,0,10
"enjoy-that_S-active-positive-matrix","enjoy","that_S","active","positive","matrix",1,0,0,0,10
"enrage-that_S-passive-negative-conditional","enrage","that_S","passive","negative","conditional",0.6,0.2,0.2,0.316227766016838,10
"enrage-that_S-passive-negative-matrix","enrage","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"enrage-that_S-passive-positive-conditional","enrage","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"enrage-that_S-passive-positive-matrix","enrage","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"ensure-that_S-active-negative-conditional","ensure","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"ensure-that_S-active-negative-matrix","ensure","that_S","active","negative","matrix",0.277777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"ensure-that_S-active-positive-conditional","ensure","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"ensure-that_S-active-positive-matrix","ensure","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"enthrall-that_S-passive-negative-conditional","enthrall","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"enthrall-that_S-passive-negative-matrix","enthrall","that_S","passive","negative","matrix",0.7,0.3,0.3,0.483045891539648,10
"enthrall-that_S-passive-positive-conditional","enthrall","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"enthrall-that_S-passive-positive-matrix","enthrall","that_S","passive","positive","matrix",1,0,0,0,10
"enthuse-that_S-passive-negative-conditional","enthuse","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"enthuse-that_S-passive-negative-matrix","enthuse","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"enthuse-that_S-passive-positive-conditional","enthuse","that_S","passive","positive","conditional",0.85,0.2,0.15,0.337474278855276,10
"enthuse-that_S-passive-positive-matrix","enthuse","that_S","passive","positive","matrix",0.85,0.25,0.15,0.337474278855276,10
"envision-that_S-active-negative-conditional","envision","that_S","active","negative","conditional",0.5,0,0,0,10
"envision-that_S-active-negative-matrix","envision","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"envision-that_S-active-positive-conditional","envision","that_S","active","positive","conditional",0.55,0.05,0.1,0.158113883008419,10
"envision-that_S-active-positive-matrix","envision","that_S","active","positive","matrix",0.4,0.2,0.2,0.316227766016838,10
"envy-that_S-active-negative-conditional","envy","that_S","active","negative","conditional",0.75,0.25,0.2,0.353553390593274,10
"envy-that_S-active-negative-matrix","envy","that_S","active","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"envy-that_S-active-positive-conditional","envy","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"envy-that_S-active-positive-matrix","envy","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"establish-that_S-active-negative-conditional","establish","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"establish-that_S-active-negative-matrix","establish","that_S","active","negative","matrix",0.45,0.1,0.05,0.158113883008419,10
"establish-that_S-active-positive-conditional","establish","that_S","active","positive","conditional",0.85,0.15,0.1,0.241522945769824,10
"establish-that_S-active-positive-matrix","establish","that_S","active","positive","matrix",0.75,0.2,0.2,0.353553390593274,10
"estimate-that_S-active-negative-conditional","estimate","that_S","active","negative","conditional",0.5,0,0,0,10
"estimate-that_S-active-negative-matrix","estimate","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"estimate-that_S-active-positive-conditional","estimate","that_S","active","positive","conditional",0.55,0.05,0.1,0.158113883008419,10
"estimate-that_S-active-positive-matrix","estimate","that_S","active","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"evaluate-that_S-active-negative-conditional","evaluate","that_S","active","negative","conditional",0.6,0.2,0.2,0.316227766016838,10
"evaluate-that_S-active-negative-matrix","evaluate","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"evaluate-that_S-active-positive-conditional","evaluate","that_S","active","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"evaluate-that_S-active-positive-matrix","evaluate","that_S","active","positive","matrix",0.777777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"exasperate-that_S-passive-negative-conditional","exasperate","that_S","passive","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"exasperate-that_S-passive-negative-matrix","exasperate","that_S","passive","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"exasperate-that_S-passive-positive-conditional","exasperate","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"exasperate-that_S-passive-positive-matrix","exasperate","that_S","passive","positive","matrix",1,0,0,0,10
"excite-that_S-passive-negative-conditional","excite","that_S","passive","negative","conditional",1,0,0,0,10
"excite-that_S-passive-negative-matrix","excite","that_S","passive","negative","matrix",0.85,0.25,0.15,0.337474278855276,10
"excite-that_S-passive-positive-conditional","excite","that_S","passive","positive","conditional",1,0,0,0,10
"excite-that_S-passive-positive-matrix","excite","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"exclaim-that_S-active-negative-conditional","exclaim","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"exclaim-that_S-active-negative-matrix","exclaim","that_S","active","negative","matrix",0.45,0.1,0.05,0.158113883008419,10
"exclaim-that_S-active-positive-conditional","exclaim","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"exclaim-that_S-active-positive-matrix","exclaim","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"exhibit-that_S-active-negative-conditional","exhibit","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"exhibit-that_S-active-negative-matrix","exhibit","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"exhibit-that_S-active-positive-conditional","exhibit","that_S","active","positive","conditional",0.9,0.1,0.1,0.210818510677892,10
"exhibit-that_S-active-positive-matrix","exhibit","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"exhilarate-that_S-passive-negative-conditional","exhilarate","that_S","passive","negative","conditional",0.85,0.15,0.1,0.241522945769824,10
"exhilarate-that_S-passive-negative-matrix","exhilarate","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"exhilarate-that_S-passive-positive-conditional","exhilarate","that_S","passive","positive","conditional",1,0,0,0,10
"exhilarate-that_S-passive-positive-matrix","exhilarate","that_S","passive","positive","matrix",0.85,0.2,0.15,0.337474278855276,10
"expect-that_S-active-negative-conditional","expect","that_S","active","negative","conditional",0.65,0.1,0.15,0.241522945769824,10
"expect-that_S-active-negative-matrix","expect","that_S","active","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"expect-that_S-active-positive-conditional","expect","that_S","active","positive","conditional",0.55,0.15,0.15,0.283823106098773,10
"expect-that_S-active-positive-matrix","expect","that_S","active","positive","matrix",0.55,0.05,0.1,0.158113883008419,10
"explain-that_S-active-negative-conditional","explain","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"explain-that_S-active-negative-matrix","explain","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"explain-that_S-active-positive-conditional","explain","that_S","active","positive","conditional",1,0,0,0,10
