"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"1202",55,5064,"M","F","Mia drank 2 cocktails last night","suggest","6","C",0.55,7,29,"english","Yes","y","f","",2.6435
"1203",55,4208,NA,"F","Madison had a baby","MC","control5","control",0.39,8,29,"english","Yes","y","f","",2.6435
"1204",55,5071,"M","F","Grace visited her sister","confirm","9","C",0.56,9,29,"english","Yes","y","f","",2.6435
"1205",55,7312,"M","F","Emma studied on Saturday morning","inform","3","C",0.38,10,29,"english","Yes","y","f","",2.6435
"1206",55,5583,"M","F","Isabella ate a steak on Sunday","be_right","7","C",0.56,11,29,"english","Yes","y","f","",2.6435
"1207",55,2305,"F","M","Owen shoveled snow last winter","see","17","NonProj",0.51,12,29,"english","Yes","y","f","",2.6435
"1208",55,7191,"M","F","Josie went on vacation to France","discover","2","NonProj",0.43,13,29,"english","Yes","y","f","",2.6435
"1209",55,1593,"F","F","Jackson ran 10 miles","acknowledge","13","C",0.47,14,29,"english","Yes","y","f","",2.6435
"1210",55,2095,"M","F","Mary is pregnant","announce","1","C",0.57,15,29,"english","Yes","y","f","",2.6435
"1211",55,4863,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0.37,16,29,"english","Yes","y","f","",2.6435
"1212",55,9191,"M","M","Zoe calculated the tip","demonstrate","10","C",0.57,17,29,"english","Yes","y","f","",2.6435
"1213",55,1159,"F","F","Danny ate the last cupcake","confess","11","C",0.46,18,29,"english","Yes","y","f","",2.6435
"1214",55,1440,"F","M","Josh learned to ride a bike yesterday","say","16","C",0.58,19,29,"english","Yes","y","f","",2.6435
"1215",55,1584,"F","M","Julian dances salsa","prove","18","C",0.4,20,29,"english","Yes","y","f","",2.6435
"1216",55,1904,"M","M","Olivia sleeps until noon","know","4","NonProj",0.61,21,29,"english","Yes","y","f","",2.6435
"1217",55,1708,"F","F","Jon walks to work","think","19","NonProj",0.5,22,29,"english","Yes","y","f","",2.6435
"1218",55,1520,"F","F","Jayden rented a car","pretend","14","NonProj",0.69,23,29,"english","Yes","y","f","",2.6435
"1219",55,6592,"F","M","Tony had a drink last night","establish","15","NonProj",0.36,24,29,"english","Yes","y","f","",2.6435
"1220",55,1287,NA,"F","Todd played football in high school","MC","control3","control",0.5,25,29,"english","Yes","y","f","",2.6435
"1221",55,1408,NA,"F","Vanessa is good at math","MC","control4","control",0.61,26,29,"english","Yes","y","f","",2.6435
"1222",55,3336,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.54,27,29,"english","Yes","y","f","",2.6435
"1223",56,11540,"M","F","Emma studied on Saturday morning","reveal","3","NonProj",0.74,2,51,"English","Yes","y","f","",3.831733333
"1224",56,7002,"F","M","Julian dances salsa","admit","18","C",0.73,3,51,"English","Yes","y","f","",3.831733333
"1225",56,6516,"M","F","Emily bought a car yesterday","be_annoyed","8","NonProj",0.81,4,51,"English","Yes","y","f","",3.831733333
"1226",56,5390,"F","M","Frank got a cat","announce","12","C",0.54,5,51,"English","Yes","y","f","",3.831733333
"1227",56,6892,"F","F","Josh learned to ride a bike yesterday","acknowledge","16","C",0.68,6,51,"English","Yes","y","f","",3.831733333
"1228",56,5798,"M","F","Grace visited her sister","discover","9","NonProj",0.74,7,51,"English","Yes","y","f","",3.831733333
"1229",56,4922,"F","F","Jayden rented a car","establish","14","NonProj",0.52,8,51,"English","Yes","y","f","",3.831733333
"1230",56,7188,"F","F","Owen shoveled snow last winter","know","17","NonProj",0.52,9,51,"English","Yes","y","f","",3.831733333
"1231",56,6502,"M","M","Zoe calculated the tip","inform","10","C",0.72,10,51,"English","Yes","y","f","",3.831733333
"1232",56,7938,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.18,11,51,"English","Yes","y","f","",3.831733333
"1233",56,7548,"M","F","Josie went on vacation to France","be_right","2","C",0.19,12,51,"English","Yes","y","f","",3.831733333
"1234",56,6548,"M","F","Sophia got a tattoo","pretend","5","NonProj",0.18,13,51,"English","Yes","y","f","",3.831733333
"1235",56,4188,NA,"F","Vanessa is good at math","MC","control4","control",0.16,14,51,"English","Yes","y","f","",3.831733333
"1236",56,5734,"M","M","Isabella ate a steak on Sunday","suggest","7","C",0.25,15,51,"English","Yes","y","f","",3.831733333
"1237",56,5814,"F","F","Jon walks to work","say","19","C",0.17,16,51,"English","Yes","y","f","",3.831733333
"1238",56,13126,"M","M","Olivia sleeps until noon","hear","4","C",0.23,17,51,"English","Yes","y","f","",3.831733333
"1239",56,4830,NA,"M","Madison had a baby","MC","control5","control",0.16,18,51,"English","Yes","y","f","",3.831733333
"1240",56,14376,"F","F","Charley speaks Spanish","demonstrate","20","C",0.47,19,51,"English","Yes","y","f","",3.831733333
"1241",56,7814,"M","M","Mary is pregnant","see","1","NonProj",0.23,20,51,"English","Yes","y","f","",3.831733333
"1242",56,6406,"M","M","Mia drank 2 cocktails last night","confirm","6","C",0.3,21,51,"English","Yes","y","f","",3.831733333
"1243",56,5298,"F","M","Danny ate the last cupcake","think","11","NonProj",0.32,22,51,"English","Yes","y","f","",3.831733333
"1244",56,6440,NA,"F","Todd played football in high school","MC","control3","control",0.14,23,51,"English","Yes","y","f","",3.831733333
"1245",56,9124,"F","F","Jackson ran 10 miles","confess","13","C",0.48,24,51,"English","Yes","y","f","",3.831733333
"1246",56,6954,"F","F","Tony had a drink last night","prove","15","C",0.47,25,51,"English","Yes","y","f","",3.831733333
"1247",56,4938,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.12,26,51,"English","Yes","y","f","",3.831733333
"1248",56,3704,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0.13,27,51,"English","Yes","y","f","",3.831733333
"1249",57,11954,"F","F","Frank got a cat","admit","12","C",0.68,2,40,"English","Yes","y","m","It was fair",5.209916667
"1250",57,7774,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.22,3,40,"English","Yes","y","m","It was fair",5.209916667
"1251",57,9228,NA,"F","Vanessa is good at math","MC","control4","control",0.19,4,40,"English","Yes","y","m","It was fair",5.209916667
"1252",57,7417,NA,"M","Madison had a baby","MC","control5","control",0.3,5,40,"English","Yes","y","m","It was fair",5.209916667
"1253",57,20329,"F","M","Owen shoveled snow last winter","confess","17","C",0.65,6,40,"English","Yes","y","m","It was fair",5.209916667
"1254",57,10180,"F","F","Jayden rented a car","discover","14","NonProj",0.77,7,40,"English","Yes","y","m","It was fair",5.209916667
"1255",57,11598,"M","F","Mia drank 2 cocktails last night","be_annoyed","6","NonProj",0.75,8,40,"English","Yes","y","m","It was fair",5.209916667
"1256",57,11107,"F","M","Josh learned to ride a bike yesterday","think","16","NonProj",0.08,9,40,"English","Yes","y","m","It was fair",5.209916667
"1257",57,10315,NA,"M","Todd played football in high school","MC","control3","control",0.06,10,40,"English","Yes","y","m","It was fair",5.209916667
"1258",57,8963,"F","F","Jackson ran 10 miles","say","13","C",0.27,11,40,"English","Yes","y","m","It was fair",5.209916667
"1259",57,8548,"M","M","Isabella ate a steak on Sunday","establish","7","NonProj",0.39,12,40,"English","Yes","y","m","It was fair",5.209916667
"1260",57,6219,"M","M","Mary is pregnant","hear","1","C",0.36,13,40,"English","Yes","y","m","It was fair",5.209916667
"1261",57,5988,NA,"M","Hendrick&quotechars car was expensive","MC","control6","control",0.11,14,40,"English","Yes","y","m","It was fair",5.209916667
"1262",57,9677,"F","M","Julian dances salsa","reveal","18","NonProj",0.54,15,40,"English","Yes","y","m","It was fair",5.209916667
"1263",57,6866,"F","F","Tony had a drink last night","acknowledge","15","C",0.75,16,40,"English","Yes","y","m","It was fair",5.209916667
"1264",57,4661,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.1,17,40,"English","Yes","y","m","It was fair",5.209916667
"1265",57,7993,"M","F","Olivia sleeps until noon","be_right","4","C",0.05,18,40,"English","Yes","y","m","It was fair",5.209916667
"1266",57,10974,"M","M","Zoe calculated the tip","suggest","10","C",0.16,19,40,"English","Yes","y","m","It was fair",5.209916667
"1267",57,7188,"F","F","Jon walks to work","see","19","NonProj",0.79,20,40,"English","Yes","y","m","It was fair",5.209916667
"1268",57,10524,"M","M","Emily bought a car yesterday","know","8","NonProj",0.87,21,40,"English","Yes","y","m","It was fair",5.209916667
"1269",57,5757,"M","M","Sophia got a tattoo","pretend","5","NonProj",0.08,22,40,"English","Yes","y","m","It was fair",5.209916667
"1270",57,10925,"M","F","Josie went on vacation to France","confirm","2","C",0.86,23,40,"English","Yes","y","m","It was fair",5.209916667
"1271",57,8652,"F","M","Danny ate the last cupcake","announce","11","C",0.6,24,40,"English","Yes","y","m","It was fair",5.209916667
"1272",57,11011,"M","F","Grace visited her sister","prove","9","C",0.6,25,40,"English","Yes","y","m","It was fair",5.209916667
"1273",57,7900,"M","F","Emma studied on Saturday morning","demonstrate","3","C",0.41,26,40,"English","Yes","y","m","It was fair",5.209916667
"1274",57,6082,"F","M","Charley speaks Spanish","inform","20","C",0.62,27,40,"English","Yes","y","m","It was fair",5.209916667
"1275",58,17054,"F","F","Owen shoveled snow last winter","be_right","17","C",0.13,2,31,"English","Yes","y","m","",4.328033333
"1276",58,6905,NA,"F","Madison had a baby","MC","control5","control",0.01,3,31,"English","Yes","y","m","",4.328033333
"1277",58,6495,"M","M","Josie went on vacation to France","say","2","C",0.44,4,31,"English","Yes","y","m","",4.328033333
"1278",58,6160,NA,"M","Todd played football in high school","MC","control3","control",0.06,5,31,"English","Yes","y","m","",4.328033333
"1279",58,13944,"M","M","Grace visited her sister","discover","9","NonProj",0.89,6,31,"English","Yes","y","m","",4.328033333
"1280",58,6560,"F","F","Frank got a cat","demonstrate","12","C",0.94,7,31,"English","Yes","y","m","",4.328033333
"1281",58,8512,"M","M","Olivia sleeps until noon","establish","4","NonProj",0.43,8,31,"English","Yes","y","m","",4.328033333
"1282",58,8016,"F","F","Josh learned to ride a bike yesterday","announce","16","C",0.77,9,31,"English","Yes","y","m","",4.328033333
"1283",58,19760,"M","F","Mia drank 2 cocktails last night","see","6","NonProj",0.99,10,31,"English","Yes","y","m","",4.328033333
"1284",58,8007,"F","M","Charley speaks Spanish","prove","20","C",0.28,11,31,"English","Yes","y","m","",4.328033333
"1285",58,13113,"M","F","Isabella ate a steak on Sunday","pretend","7","NonProj",0.56,12,31,"English","Yes","y","m","",4.328033333
"1286",58,7879,"M","M","Emily bought a car yesterday","know","8","NonProj",0.99,13,31,"English","Yes","y","m","",4.328033333
"1287",58,6609,"F","M","Jon walks to work","hear","19","C",1,14,31,"English","Yes","y","m","",4.328033333
"1288",58,4783,NA,"M","Hendrick&quotechars car was expensive","MC","control6","control",0.03,15,31,"English","Yes","y","m","",4.328033333
"1289",58,9489,"M","F","Sophia got a tattoo","admit","5","C",0.5,16,31,"English","Yes","y","m","",4.328033333
"1290",58,10287,"M","F","Zoe calculated the tip","suggest","10","C",0.25,17,31,"English","Yes","y","m","",4.328033333
"1291",58,8800,"M","M","Emma studied on Saturday morning","confess","3","C",0.2,18,31,"English","Yes","y","m","",4.328033333
"1292",58,7392,"M","F","Mary is pregnant","be_annoyed","1","NonProj",0.99,19,31,"English","Yes","y","m","",4.328033333
"1293",58,7479,"F","F","Julian dances salsa","acknowledge","18","C",0.73,20,31,"English","Yes","y","m","",4.328033333
"1294",58,10904,"F","M","Danny ate the last cupcake","inform","11","C",1,21,31,"English","Yes","y","m","",4.328033333
"1295",58,6936,"F","M","Jayden rented a car","think","14","NonProj",0.24,22,31,"English","Yes","y","m","",4.328033333
"1296",58,4663,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0,23,31,"English","Yes","y","m","",4.328033333
"1297",58,6712,"F","F","Tony had a drink last night","reveal","15","NonProj",0.19,24,31,"English","Yes","y","m","",4.328033333
"1298",58,4784,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0,25,31,"English","Yes","y","m","",4.328033333
"1299",58,3567,NA,"F","Vanessa is good at math","MC","control4","control",0,26,31,"English","Yes","y","m","",4.328033333
"1300",58,7409,"F","F","Jackson ran 10 miles","confirm","13","C",0.61,27,31,"English","Yes","y","m","",4.328033333
"1301",59,16618,"M","F","Mia drank 2 cocktails last night","confirm","6","C",0.07,2,69,"English","Yes","y",NA,"price is about average",5.934666667
"1302",59,8890,"M","F","Olivia sleeps until noon","suggest","4","C",0.07,3,69,"English","Yes","y",NA,"price is about average",5.934666667
"1303",59,13819,"M","F","Josie went on vacation to France","inform","2","C",0.07,4,69,"English","Yes","y",NA,"price is about average",5.934666667
"1304",59,9728,"F","F","Frank got a cat","admit","12","C",0.39,5,69,"English","Yes","y",NA,"price is about average",5.934666667
"1305",59,9521,NA,"F","Vanessa is good at math","MC","control4","control",0.03,6,69,"English","Yes","y",NA,"price is about average",5.934666667
"1306",59,10886,"M","M","Zoe calculated the tip","think","10","NonProj",0.06,7,69,"English","Yes","y",NA,"price is about average",5.934666667
"1307",59,13514,"M","M","Grace visited her sister","hear","9","C",0.54,8,69,"English","Yes","y",NA,"price is about average",5.934666667
"1308",59,9882,"M","F","Emily bought a car yesterday","demonstrate","8","C",0.21,9,69,"English","Yes","y",NA,"price is about average",5.934666667
"1309",59,8875,"M","M","Mary is pregnant","be_annoyed","1","NonProj",0.59,10,69,"English","Yes","y",NA,"price is about average",5.934666667
"1310",59,10029,"F","M","Charley speaks Spanish","be_right","20","C",0.03,11,69,"English","Yes","y",NA,"price is about average",5.934666667
"1311",59,9417,"F","F","Jayden rented a car","know","14","NonProj",0.7,12,69,"English","Yes","y",NA,"price is about average",5.934666667
"1312",59,6381,"M","F","Sophia got a tattoo","confess","5","C",0.59,13,69,"English","Yes","y",NA,"price is about average",5.934666667
"1313",59,15661,"M","F","Isabella ate a steak on Sunday","see","7","NonProj",0.63,14,69,"English","Yes","y",NA,"price is about average",5.934666667
"1314",59,9135,"F","F","Josh learned to ride a bike yesterday","acknowledge","16","C",0.6,15,69,"English","Yes","y",NA,"price is about average",5.934666667
"1315",59,7703,"F","F","Tony had a drink last night","discover","15","NonProj",0.6,16,69,"English","Yes","y",NA,"price is about average",5.934666667
"1316",59,10057,"F","M","Owen shoveled snow last winter","reveal","17","NonProj",0.79,17,69,"English","Yes","y",NA,"price is about average",5.934666667
"1317",59,6013,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.03,18,69,"English","Yes","y",NA,"price is about average",5.934666667
"1318",59,6110,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.01,19,69,"English","Yes","y",NA,"price is about average",5.934666667
"1319",59,9004,"F","M","Jackson ran 10 miles","establish","13","NonProj",0.46,20,69,"English","Yes","y",NA,"price is about average",5.934666667
"1320",59,5763,NA,"M","Madison had a baby","MC","control5","control",0.01,21,69,"English","Yes","y",NA,"price is about average",5.934666667
"1321",59,6243,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.04,22,69,"English","Yes","y",NA,"price is about average",5.934666667
"1322",59,9210,"F","F","Julian dances salsa","prove","18","C",0.23,23,69,"English","Yes","y",NA,"price is about average",5.934666667
"1323",59,7383,NA,"F","Todd played football in high school","MC","control3","control",0.04,24,69,"English","Yes","y",NA,"price is about average",5.934666667
"1324",59,9055,"M","F","Emma studied on Saturday morning","pretend","3","NonProj",0.07,25,69,"English","Yes","y",NA,"price is about average",5.934666667
"1325",59,12150,"F","F","Jon walks to work","say","19","C",0.01,26,69,"English","Yes","y",NA,"price is about average",5.934666667
"1326",59,7233,"F","F","Danny ate the last cupcake","announce","11","C",0.44,27,69,"English","Yes","y",NA,"price is about average",5.934666667
"1327",60,12709,"M","F","Olivia sleeps until noon","acknowledge","4","C",0.49,2,43,"English","No","y","m","",4.81275
"1328",60,8261,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0,3,43,"English","No","y","m","",4.81275
"1329",60,7743,"F","F","Jon walks to work","hear","19","C",0.68,4,43,"English","No","y","m","",4.81275
"1330",60,18113,"F","F","Owen shoveled snow last winter","admit","17","C",0.51,5,43,"English","No","y","m","",4.81275
"1331",60,9921,"F","M","Charley speaks Spanish","know","20","NonProj",0.72,6,43,"English","No","y","m","",4.81275
"1332",60,4995,"M","F","Mary is pregnant","suggest","1","C",0.49,7,43,"English","No","y","m","",4.81275
"1333",60,12001,"F","F","Josh learned to ride a bike yesterday","prove","16","C",0.51,8,43,"English","No","y","m","",4.81275
"1334",60,6942,"F","M","Frank got a cat","think","12","NonProj",0.02,9,43,"English","No","y","m","",4.81275
"1335",60,5188,"F","M","Jackson ran 10 miles","establish","13","NonProj",0.42,10,43,"English","No","y","m","",4.81275
"1336",60,5851,NA,"F","Todd played football in high school","MC","control3","control",0,11,43,"English","No","y","m","",4.81275
"1337",60,6814,"M","M","Sophia got a tattoo","be_annoyed","5","NonProj",0.68,12,43,"English","No","y","m","",4.81275
"1338",60,3791,NA,"M","Vanessa is good at math","MC","control4","control",0.01,13,43,"English","No","y","m","",4.81275
"1339",60,5633,"M","M","Isabella ate a steak on Sunday","announce","7","C",0.35,14,43,"English","No","y","m","",4.81275
"1340",60,8801,"M","M","Zoe calculated the tip","pretend","10","NonProj",0.02,15,43,"English","No","y","m","",4.81275
"1341",60,4139,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0,16,43,"English","No","y","m","",4.81275
"1342",60,43170,"F","F","Tony had a drink last night","demonstrate","15","C",0.43,17,43,"English","No","y","m","",4.81275
"1343",60,11183,"M","F","Emily bought a car yesterday","inform","8","C",0.66,18,43,"English","No","y","m","",4.81275
"1344",60,4033,"M","F","Grace visited her sister","confess","9","C",0.51,19,43,"English","No","y","m","",4.81275
"1345",60,4227,"F","M","Julian dances salsa","discover","18","NonProj",0.47,20,43,"English","No","y","m","",4.81275
"1346",60,6629,"M","F","Josie went on vacation to France","be_right","2","C",0,21,43,"English","No","y","m","",4.81275
"1347",60,4460,"M","F","Emma studied on Saturday morning","see","3","NonProj",0.6,22,43,"English","No","y","m","",4.81275
"1348",60,4292,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0,23,43,"English","No","y","m","",4.81275
"1349",60,3548,NA,"M","Madison had a baby","MC","control5","control",0.01,24,43,"English","No","y","m","",4.81275
"1350",60,7721,"M","F","Mia drank 2 cocktails last night","reveal","6","NonProj",0.35,25,43,"English","No","y","m","",4.81275
"1351",60,4050,"F","F","Danny ate the last cupcake","say","11","C",0.25,26,43,"English","No","y","m","",4.81275
"1352",60,6275,"F","M","Jayden rented a car","confirm","14","C",0.26,27,43,"English","No","y","m","",4.81275
"1353",61,17693,"M","F","Isabella ate a steak on Sunday","know","7","NonProj",1,2,34,"English","Yes","y","m","it is fair already",4.7758
"1354",61,7703,NA,"F","Madison had a baby","MC","control5","control",0,3,34,"English","Yes","y","m","it is fair already",4.7758
"1355",61,9317,"M","F","Mary is pregnant","inform","1","C",0.94,4,34,"English","Yes","y","m","it is fair already",4.7758
"1356",61,14575,"M","M","Emma studied on Saturday morning","be_annoyed","3","NonProj",0.92,5,34,"English","Yes","y","m","it is fair already",4.7758
"1357",61,8442,"F","F","Julian dances salsa","say","18","C",0.28,6,34,"English","Yes","y","m","it is fair already",4.7758
"1358",61,7069,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0,7,34,"English","Yes","y","m","it is fair already",4.7758
"1359",61,8830,"F","M","Owen shoveled snow last winter","think","17","NonProj",0.18,8,34,"English","Yes","y","m","it is fair already",4.7758
"1360",61,14941,"F","M","Jon walks to work","acknowledge","19","C",1,9,34,"English","Yes","y","m","it is fair already",4.7758
"1361",61,5944,"F","M","Jayden rented a car","confirm","14","C",0.08,10,34,"English","Yes","y","m","it is fair already",4.7758
"1362",61,8612,"F","M","Danny ate the last cupcake","reveal","11","NonProj",0.9,11,34,"English","Yes","y","m","it is fair already",4.7758
"1363",61,10101,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0.06,12,34,"English","Yes","y","m","it is fair already",4.7758
"1364",61,8619,"M","F","Josie went on vacation to France","prove","2","C",0.11,13,34,"English","Yes","y","m","it is fair already",4.7758
"1365",61,6118,"M","F","Sophia got a tattoo","see","5","NonProj",0.8,14,34,"English","Yes","y","m","it is fair already",4.7758
"1366",61,7766,"F","F","Jackson ran 10 miles","pretend","13","NonProj",0,15,34,"English","Yes","y","m","it is fair already",4.7758
"1367",61,5631,"M","F","Mia drank 2 cocktails last night","confess","6","C",0.09,16,34,"English","Yes","y","m","it is fair already",4.7758
"1368",61,21937,"F","M","Frank got a cat","establish","12","NonProj",0.13,17,34,"English","Yes","y","m","it is fair already",4.7758
"1369",61,6100,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.03,18,34,"English","Yes","y","m","it is fair already",4.7758
"1370",61,6984,"M","F","Grace visited her sister","hear","9","C",0.96,19,34,"English","Yes","y","m","it is fair already",4.7758
"1371",61,4869,NA,"F","Todd played football in high school","MC","control3","control",0,20,34,"English","Yes","y","m","it is fair already",4.7758
"1372",61,5279,"M","F","Emily bought a car yesterday","demonstrate","8","C",0.3,21,34,"English","Yes","y","m","it is fair already",4.7758
"1373",61,11456,"M","F","Zoe calculated the tip","announce","10","C",0.36,22,34,"English","Yes","y","m","it is fair already",4.7758
"1374",61,7719,"M","F","Olivia sleeps until noon","suggest","4","C",0.11,23,34,"English","Yes","y","m","it is fair already",4.7758
"1375",61,6148,"F","F","Charley speaks Spanish","be_right","20","C",0.32,24,34,"English","Yes","y","m","it is fair already",4.7758
"1376",61,2993,NA,"M","Vanessa is good at math","MC","control4","control",0,25,34,"English","Yes","y","m","it is fair already",4.7758
"1377",61,5617,"F","F","Tony had a drink last night","discover","15","NonProj",1,26,34,"English","Yes","y","m","it is fair already",4.7758
"1378",61,8029,"F","M","Josh learned to ride a bike yesterday","admit","16","C",0.86,27,34,"English","Yes","y","m","it is fair already",4.7758
"1379",62,25346,"F","F","Julian dances salsa","hear","18","C",0.91,2,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1380",62,11360,NA,"F","Vanessa is good at math","MC","control4","control",0,3,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1381",62,9530,NA,"F","Madison had a baby","MC","control5","control",0.03,4,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1382",62,10246,"M","F","Emma studied on Saturday morning","establish","3","NonProj",0.16,5,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1383",62,10842,"F","F","Josh learned to ride a bike yesterday","acknowledge","16","C",0.76,6,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1384",62,5950,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.03,7,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1385",62,6942,"M","F","Sophia got a tattoo","reveal","5","NonProj",0.94,8,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1386",62,6806,"M","F","Emily bought a car yesterday","announce","8","C",0.93,9,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1387",62,8808,"F","F","Danny ate the last cupcake","discover","11","NonProj",0.64,10,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1388",62,10714,"M","F","Mary is pregnant","prove","1","C",0.2,11,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1389",62,9690,"F","M","Tony had a drink last night","know","15","NonProj",0.93,12,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1390",62,11618,"M","M","Olivia sleeps until noon","think","4","NonProj",0.03,13,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1391",62,12004,"F","M","Charley speaks Spanish","demonstrate","20","C",0.62,14,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1392",62,16626,"M","M","Grace visited her sister","see","9","NonProj",0.93,15,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1393",62,6856,"M","M","Isabella ate a steak on Sunday","confess","7","C",0.86,16,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1394",62,12006,"M","M","Mia drank 2 cocktails last night","admit","6","C",0.97,17,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1395",62,5440,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.02,18,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1396",62,6288,"F","F","Jackson ran 10 miles","confirm","13","C",0.8,19,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1397",62,11144,"F","F","Jayden rented a car","say","14","C",0.25,20,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1398",62,8110,"F","F","Owen shoveled snow last winter","pretend","17","NonProj",0.03,21,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1399",62,8202,"M","M","Zoe calculated the tip","inform","10","C",0.96,22,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1400",62,6030,"F","F","Frank got a cat","be_annoyed","12","NonProj",0.02,23,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1401",62,6022,NA,"M","Todd played football in high school","MC","control3","control",0.03,24,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1402",62,10414,"F","F","Jon walks to work","be_right","19","C",0.14,25,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1403",62,4672,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0.01,26,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1404",62,8718,"M","F","Josie went on vacation to France","suggest","2","C",0,27,56,"English","Yes","y","f","I think the price for the work is very fair.",6.763233333
"1405",64,27661,"F","F","Charley speaks Spanish","establish","20","NonProj",0.32,2,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1406",64,14273,NA,"F","Vanessa is good at math","MC","control4","control",0.02,3,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1407",64,14690,"F","M","Danny ate the last cupcake","prove","11","C",0.27,4,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1408",64,19338,"M","F","Zoe calculated the tip","be_right","10","C",0.03,5,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1409",64,6590,NA,"F","Todd played football in high school","MC","control3","control",0.03,6,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1410",64,4909,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.03,7,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1411",64,18375,"F","M","Jon walks to work","demonstrate","19","C",0.71,8,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1412",64,18296,"F","M","Josh learned to ride a bike yesterday","see","16","NonProj",0.96,9,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1413",64,9355,"F","M","Frank got a cat","acknowledge","12","C",0.96,10,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1414",64,13036,"M","F","Sophia got a tattoo","hear","5","C",0.91,11,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1415",64,8443,"F","F","Jayden rented a car","announce","14","C",0.75,12,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1416",64,6026,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.03,13,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1417",64,9553,"F","F","Owen shoveled snow last winter","reveal","17","NonProj",0.85,14,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1418",64,15653,"F","M","Julian dances salsa","suggest","18","C",0.51,15,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1419",64,4632,NA,"M","Madison had a baby","MC","control5","control",0.03,16,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
"1420",64,11423,"F","M","Tony had a drink last night","inform","15","C",0.7,17,29,"English","Yes","y","f","I think the compensation is fair.",6.6046
